Component 0,Component 1,Component 2
-0.49289121099222727,0.8700909458939425,1.2223130827132462
-0.5774560480906421,0.8164217736706548,2.0039949126533414
-0.6812784891368161,0.7320243303603079,2.6779692691843513
-0.790854272853615,0.6120045090595165,3.2539174274355585
-0.8891842888300208,0.45754923286773214,3.6671136905163397
-0.963678433000119,0.2670653061901434,4.097812081288813
-0.998358044236329,0.05728189512064109,4.260663388594128
-0.9856487885852109,-0.16880896173043167,4.538688619091027
-0.9194428237154332,-0.39322371993331096,4.6902795618156485
-0.8136422126294275,-0.5813659345261721,4.325426681025802
-0.6795638777988061,-0.733616341142323,4.064437253820444
-0.5401285843592534,-0.8415825047837371,3.5315619499049533
-0.4109809278079213,-0.9116439419960735,2.941201806217625
-0.29350231733332993,-0.9559583619174872,2.512826824488255
-0.21917074952139975,-0.9756865185879263,1.53847969540129
-0.1918186327737975,-0.9814303908687518,0.5589923833837156
-0.2145805183847555,-0.9767063023907082,-0.46494936847947255
-0.26302636359281695,-0.9647886463133464,-0.9979071877522095
-0.33714991142718764,-0.9414509744137713,-1.5546046180743773
-0.4311998542973593,-0.9022564411817386,-2.0386855682965557
-0.5373000551692815,-0.8433911611554197,-2.4282068870196976
-0.6528155242965675,-0.7575169247201,-2.8812551139958815
-0.7738646710427526,-0.6333509855616333,-3.4725051902757387
-0.8790570639448536,-0.47671655973823024,-3.7792009267099185
-0.9614339565816574,-0.2750359015323992,-4.36577369421371
-0.9985303396986214,-0.054195578245423974,-4.488098005697978
-0.9833177346822995,0.18189621397728625,-4.742732719338863
-0.9211038428297127,0.38931697975343427,-4.339509207547076
-0.8244251447965187,0.5659710068786554,-4.034412480155401
-0.7076232989301479,0.7065898858681849,-3.6611370631192544
-0.5830727776447195,0.8124199258817274,-3.2724612778179614
-0.4772964566345832,0.8787423356616383,-2.49860611409972
-0.3933592665200877,0.9193848418604575,-1.8658591639916176
-0.340566698145599,0.9402203593382801,-1.1352601638795576
-0.30656152390125496,0.95185084549174,-0.7188210155630576
-0.3096842418214643,0.9508394556219598,0.06564841613217498
-0.3496174015556104,0.9368925618925059,0.8460354404882438
-0.4242250715205295,0.9055567838039764,1.618865258304737
-0.5365302489989525,0.8438810887258477,2.564281698172261
-0.6680865716638384,0.7440835522724977,3.3062846966376522
-0.7959872998809289,0.6053133225266633,3.7800521029160388
-0.904603968580693,0.42625304694284655,4.196256267527177
-0.9783175784389164,0.2071103950008657,4.634524769846853
-0.999843725992276,-0.017678336852839958,4.525992840269331
-0.9693269475296132,-0.24577483352231658,4.612794118447686
-0.8893561689277654,-0.4572150531097244,4.530845718783167
-0.7803509782715674,-0.6253417871137413,4.014163959523765
-0.6661996096833015,-0.7457734777114408,3.32251340336624
-0.5617331330131388,-0.8273184920423593,2.6524403029199544
-0.47852163684517823,-0.878075761578129,1.9501778994710324
-0.4189451934556051,-0.9080115224381492,1.3337391403663883
-0.39078915964604766,-0.9204802185289676,0.6158914060149168
-0.3807072237696153,-0.924695630880579,0.21855554960758616
-0.41345739856356367,-0.9105234645922369,-0.7137392810815345
-0.4836439924751708,-0.8752648105246075,-1.5713058242373976
-0.5862010069852175,-0.8101656493640773,-2.4309687258491914
-0.6987853663700615,-0.71533139994485,-2.9467279657237357
-0.8164642730731291,-0.5773959566841171,-3.6312515515405273
-0.9165978328064738,-0.3998104712166447,-4.08451205522672
-0.9830419793465293,-0.18338066103724768,-4.537714551755201
-0.998226286945727,0.059533856338616215,-4.879868298856836
-0.9514083451490485,0.30793207169885556,-5.068992824920669
-0.8524037469672247,0.5228841670544593,-4.744246018885366
-0.711834449440938,0.702347290582883,-4.569173130735177
-0.5487627253159372,0.8359781524081986,-4.224463254505244
-0.38671912631480015,0.9221975478943314,-3.676244540764242
-0.2546359609805833,0.9670369834579724,-2.7920004330547057
-0.14157092155672643,0.9899281156576871,-2.3084619327697284
-0.07381848807146249,0.997271693581465,-1.3632489090090223
-0.030998922630617362,0.9995194179183019,-0.8576361029018267
-0.039887262345599174,0.9992041864917167,0.17787914455980314
-0.085218014625198,0.9963623286653002,0.9084730053741874
-0.18140165611029282,0.983409090440211,1.9418014134789976
-0.31411549084053997,0.9493847789036891,2.7422655411393446
-0.4789146677775189,0.8778614588803569,3.597862272866741
-0.6429981017187274,0.7658677700400461,3.9797710404049993
-0.7953588116708246,0.6061388955491751,4.423856045572134
-0.9136312236429569,0.406543954800306,4.650578147884727
-0.9843746638527094,0.1760866865065765,4.833170230348482
-0.9982116760696936,-0.059778338536070744,4.736471873522405
-0.9585477572328551,-0.28493191661143086,4.582428027791052
-0.8752713421473279,-0.4836321718161594,4.317286887406797
-0.7715945261732374,-0.6361146808394672,3.693051259855026
-0.6554449315707375,-0.7552429686387232,3.331448518320846
-0.543434212055934,-0.8394517598809036,2.804977164968787
-0.45537344943450647,-0.8903005231662615,2.0346220373465083
-0.3928689860750928,-0.9195944539743205,1.3808454774241095
-0.37219579131471964,-0.9281542398371133,0.4475139348101904
-0.381598787323805,-0.924328061628014,-0.20303384810547875
-0.41091771697677254,-0.9116724356229035,-0.6387021770222594
-0.47505472446515223,-0.8799562538918274,-1.4313151278401222
-0.560150963063403,-0.8283905471328981,-1.9908360940463463
-0.6714920900835917,-0.7410117225490901,-2.833050294316827
-0.7828114367592216,-0.6222589930880575,-3.259012763048446
-0.887446127344539,-0.46091145685606505,-3.852063353279604
-0.9664849356754485,-0.2567233318427139,-4.38783213049578
-0.9994486972075277,-0.033200928453518574,-4.528466866492722
-0.9782683130410756,0.20734297118486553,-4.841303040328055
-0.9075936479194215,0.4198496996025091,-4.48843179159181
-0.7919403438007528,0.6105984702410786,-4.470727231829046
-0.6583885770122575,0.7526782059152335,-3.906088455146543
-0.5181590323403403,0.8552842902825482,-3.4795750199407696
-0.39846928964436035,0.9171816751387475,-2.6969953857745432
-0.31765703135583545,0.9482056793914482,-1.731796004286968
-0.2616081639969015,0.9651741648687922,-1.1713898664818156
-0.24216560743142881,0.9702349295801338,-0.4018148439502167
-0.2606077011699474,0.9654447814820459,0.38108651246273173
-0.3155893342980041,0.9488958699864504,1.1485212436629388
-0.3947353285737743,0.9187948739385492,1.6940421172812403
-0.5128652935841556,0.8584690970773717,2.6547876810756064
-0.6456429128534148,0.763639462758544,3.2669147312813154
-0.7859550951820488,0.6182835824743987,4.047489527458348
-0.9068647867866386,0.42142171098132164,4.630889783455535
-0.9812907363756329,0.192531791409544,4.825418238246091
-0.9979422460790319,-0.06411921311695033,5.158095780724453
-0.9503123067267846,-0.31129812026997167,5.047909816845832
-0.8425944461327977,-0.5385486044417569,5.043098139323026
-0.6944715401236523,-0.7195201734199551,4.6879504081730285
-0.5216788423452714,-0.8531419491792075,4.377351490905227
-0.34868427284412346,-0.9372402455460205,3.8530139804368364
-0.190729354487851,-0.9816426607155211,3.285236365690506
-0.06437059973818962,-0.9979260623359557,2.5497989993011414
0.03932495175250389,-0.9992264749143025,2.0750046278821976
0.10971273845905961,-0.9939633368589679,1.4119788939393982
0.14050851896549266,-0.9900794695872265,0.6208194221341387
0.13764144344166662,-0.9904821215182505,-0.05790425370234986
0.08351989552451289,-0.9965061098917429,-1.089249923486744
-0.014166455624303272,-0.9998996507325346,-1.9556846191019241
-0.14413836665169932,-0.9895575431772425,-2.6095052359431343
-0.3131647031213184,-0.9496988305346787,-3.477626826243661
-0.5007613387124275,-0.8655853982426792,-4.119091690624067
-0.6925579854891603,-0.7213622091121741,-4.8110195181952555
-0.8642043895275033,-0.5031409078194649,-5.5707567414260994
-0.9750672921895813,-0.22190938624149661,-6.069143027130023
-0.9963122143584088,0.08580193191440463,-6.193596121973099
-0.9250444958943123,0.3798587640368954,-6.074721014284854
-0.7795149798907639,0.6263835854537553,-5.7452317920977505
-0.5929480006581831,0.8052407518968866,-5.183523610954402
-0.39888297086967495,0.9170018405380559,-4.488331081995344
-0.2164843304828406,0.9762860926262323,-3.8417286413205396
-0.0745633883508248,0.9972162759991656,-2.871586110501378
0.035516714166426,0.9993690824789511,-2.2031367774377033
0.10990625780149228,0.9939419573074033,-1.4920910103477771
0.13528664553661618,0.9908065015629691,-0.5114805215809392
0.11468283767058073,0.9934021576098088,0.4153407411479131
0.05077760370004272,0.9987099854124226,1.2827255074771036
-0.03878552573450702,0.9992475584125777,1.7918941240083446
-0.177500686010987,0.9841206767798495,2.7930193639599743
-0.3536112297303164,0.9353924835108595,3.659654649176621
-0.5600567654161617,0.828454235013369,4.660507216460645
-0.7499788884448793,0.661461765249499,5.071516875941725
-0.9075676102720789,0.4199059808874219,5.788488838602223
-0.9904523373649881,0.1378556034705588,5.900914082801268
-0.9863548710244537,-0.1646331327720313,6.073641523228628
-0.8997460817605297,-0.4364137811258648,5.72445865987664
-0.7439015596611668,-0.6682892109960205,5.60595325328868
-0.5433591229392002,-0.8395003654071528,5.289127718437585
-0.33290737034765255,-0.9429595340035599,4.70096288692525
-0.14200087632920572,-0.9898665319737493,3.9380532146096643
0.004375178653469927,-0.9999904288600717,2.937153508509983
0.11937076368586592,-0.9928497473319179,2.305617953553276
0.1950529167747121,-0.9807927200268552,1.53310625301847
